group	fill	colour	clickSelects
1	#CD1076	#000000	83
2	#CD1076	#000000	18
3	#FFFFFF	#D3D3D3	16
4	#FFFFFF	#D3D3D3	11
5	#FFFFFF	#D3D3D3	11
6	#FFFFFF	#D3D3D3	11
7	#FFFFFF	#D3D3D3	11
8	#FFFFFF	#D3D3D3	70
9	#FFFFFF	#D3D3D3	6
10	#CD1076	#000000	32
11	#FFFFFF	#D3D3D3	6
12	#FFFFFF	#D3D3D3	90
13	#FFFFFF	#D3D3D3	90
14	#FFFFFF	#D3D3D3	7
15	#FFFFFF	#D3D3D3	16
16	#FFFFFF	#D3D3D3	16
17	#FFFFFF	#D3D3D3	16
18	#FFFFFF	#D3D3D3	16
19	#FFFFFF	#D3D3D3	16
20	#FFFFFF	#D3D3D3	16
21	#FFFFFF	#D3D3D3	16
22	#CD1076	#000000	83
23	#CD1076	#000000	18
24	#FFFFFF	#D3D3D3	16
25	#FFFFFF	#D3D3D3	16
26	#FFFFFF	#D3D3D3	11
27	#FFFFFF	#D3D3D3	11
28	#FFFFFF	#D3D3D3	11
29	#FFFFFF	#D3D3D3	45
30	#FFFFFF	#D3D3D3	6
31	#CD1076	#000000	18
32	#FFFFFF	#D3D3D3	6
33	#FFFFFF	#D3D3D3	90
34	#FFFFFF	#D3D3D3	7
35	#CD1076	#000000	32
36	#FFFFFF	#D3D3D3	16
37	#FFFFFF	#D3D3D3	16
38	#FFFFFF	#D3D3D3	16
39	#FFFFFF	#D3D3D3	16
40	#FFFFFF	#D3D3D3	16
41	#FFFFFF	#D3D3D3	16
42	#CD1076	#000000	83
43	#CD1076	#000000	18
44	#FFFFFF	#D3D3D3	16
45	#FFFFFF	#D3D3D3	16
46	#FFFFFF	#D3D3D3	11
47	#FFFFFF	#D3D3D3	6
48	#FFFFFF	#D3D3D3	6
49	#FFFFFF	#D3D3D3	6
50	#FFFFFF	#D3D3D3	6
51	#CD1076	#000000	32
52	#FFFFFF	#D3D3D3	6
53	#FFFFFF	#D3D3D3	6
54	#FFFFFF	#D3D3D3	7
55	#CD1076	#000000	32
56	#FFFFFF	#D3D3D3	16
57	#FFFFFF	#D3D3D3	16
58	#FFFFFF	#D3D3D3	16
59	#FFFFFF	#D3D3D3	16
60	#FFFFFF	#D3D3D3	16
62	#CD1076	#000000	96
64	#FFFFFF	#D3D3D3	6
65	#FFFFFF	#D3D3D3	23
66	#FFFFFF	#D3D3D3	23
67	#FFFFFF	#D3D3D3	34
69	#FFFFFF	#D3D3D3	23
75	#FDEEF3	#BFBFBF	67
76	#CD1076	#000000	37
77	#CD1076	#000000	37
78	#FFFFFF	#D3D3D3	3
79	#FFFFFF	#D3D3D3	6
80	#FFFFFF	#D3D3D3	6
83	#FFFFFF	#D3D3D3	6
84	#FFFFFF	#D3D3D3	23
85	#FFFFFF	#D3D3D3	34
87	#FFFFFF	#D3D3D3	23
93	#CD1076	#000000	37
94	#CD1076	#000000	37
95	#CD1076	#000000	37
96	#FFFFFF	#D3D3D3	3
97	#FFFFFF	#D3D3D3	6
98	#FFFFFF	#D3D3D3	6
99	#FFFFFF	#D3D3D3	6
102	#FFFFFF	#D3D3D3	3
103	#FFFFFF	#D3D3D3	6
106	#FFFFFF	#D3D3D3	23
113	#CD1076	#000000	37
114	#CD1076	#000000	37
115	#CD1076	#000000	37
116	#FFFFFF	#D3D3D3	3
117	#FFFFFF	#D3D3D3	3
118	#FFFFFF	#D3D3D3	43
119	#FFFFFF	#D3D3D3	6
122	#FFFFFF	#D3D3D3	6
123	#FFFFFF	#D3D3D3	23
125	#FFFFFF	#D3D3D3	23
132	#CD1076	#000000	96
133	#CD1076	#000000	37
134	#CD1076	#000000	37
135	#FFFFFF	#D3D3D3	3
136	#FFFFFF	#D3D3D3	3
137	#FFFFFF	#D3D3D3	56
138	#FFFFFF	#D3D3D3	6
139	#FFFFFF	#D3D3D3	3
142	#FFFFFF	#D3D3D3	3
143	#FFFFFF	#D3D3D3	6
145	#FFFFFF	#D3D3D3	23
152	#F7C5D6	#929292	33
154	#CD1076	#000000	96
155	#CD1076	#000000	37
156	#FFFFFF	#D3D3D3	3
157	#FFFFFF	#D3D3D3	3
158	#FFFFFF	#D3D3D3	3
159	#FFFFFF	#D3D3D3	56
160	#FFFFFF	#D3D3D3	6
163	#FFFFFF	#D3D3D3	3
165	#FFFFFF	#D3D3D3	23
173	#F7C5D6	#929292	33
175	#CD1076	#000000	96
176	#FFFFFF	#D3D3D3	3
177	#FFFFFF	#D3D3D3	3
178	#FFFFFF	#D3D3D3	68
179	#FFFFFF	#D3D3D3	3
180	#FFFFFF	#D3D3D3	3
