group	x	y
1	-0.95	0.5
1	-0.5	0.95
1	-0.05	0.5
1	-0.5	0.05
1	-0.95	0.5
2	-0.95	1.5
2	-0.5	1.95
2	-0.05	1.5
2	-0.5	1.05
2	-0.95	1.5
3	-0.95	13.5
3	-0.5	13.95
3	-0.05	13.5
3	-0.5	13.05
3	-0.95	13.5
4	-0.95	14.5
4	-0.5	14.95
4	-0.05	14.5
4	-0.5	14.05
4	-0.95	14.5
5	-0.95	15.5
5	-0.5	15.95
5	-0.05	15.5
5	-0.5	15.05
5	-0.95	15.5
6	-0.95	16.5
6	-0.5	16.95
6	-0.05	16.5
6	-0.5	16.05
6	-0.95	16.5
7	-0.95	17.5
7	-0.5	17.95
7	-0.05	17.5
7	-0.5	17.05
7	-0.95	17.5
8	-0.95	18.5
8	-0.5	18.95
8	-0.05	18.5
8	-0.5	18.05
8	-0.95	18.5
9	-0.95	19.5
9	-0.5	19.95
9	-0.05	19.5
9	-0.5	19.05
9	-0.95	19.5
10	-0.95	2.5
10	-0.5	2.95
10	-0.05	2.5
10	-0.5	2.05
10	-0.95	2.5
11	-0.95	20.5
11	-0.5	20.95
11	-0.05	20.5
11	-0.5	20.05
11	-0.95	20.5
12	-0.95	21.5
12	-0.5	21.95
12	-0.05	21.5
12	-0.5	21.05
12	-0.95	21.5
13	-0.95	22.5
13	-0.5	22.95
13	-0.05	22.5
13	-0.5	22.05
13	-0.95	22.5
14	-0.95	24.5
14	-0.5	24.95
14	-0.05	24.5
14	-0.5	24.05
14	-0.95	24.5
15	-0.95	3.5
15	-0.5	3.95
15	-0.05	3.5
15	-0.5	3.05
15	-0.95	3.5
16	-0.95	4.5
16	-0.5	4.95
16	-0.05	4.5
16	-0.5	4.05
16	-0.95	4.5
17	-0.95	5.5
17	-0.5	5.95
17	-0.05	5.5
17	-0.5	5.05
17	-0.95	5.5
18	-0.95	6.5
18	-0.5	6.95
18	-0.05	6.5
18	-0.5	6.05
18	-0.95	6.5
19	-0.95	7.5
19	-0.5	7.95
19	-0.05	7.5
19	-0.5	7.05
19	-0.95	7.5
20	-0.95	8.5
20	-0.5	8.95
20	-0.05	8.5
20	-0.5	8.05
20	-0.95	8.5
21	-0.95	9.5
21	-0.5	9.95
21	-0.05	9.5
21	-0.5	9.05
21	-0.95	9.5
22	-1.45	0
22	-1	0.45
22	-0.55	0
22	-1	-0.45
22	-1.45	0
23	-1.45	1
23	-1	1.45
23	-0.55	1
23	-1	0.55
23	-1.45	1
24	-1.45	13
24	-1	13.45
24	-0.55	13
24	-1	12.55
24	-1.45	13
25	-1.45	14
25	-1	14.45
25	-0.55	14
25	-1	13.55
25	-1.45	14
26	-1.45	15
26	-1	15.45
26	-0.55	15
26	-1	14.55
26	-1.45	15
27	-1.45	16
27	-1	16.45
27	-0.55	16
27	-1	15.55
27	-1.45	16
28	-1.45	17
28	-1	17.45
28	-0.55	17
28	-1	16.55
28	-1.45	17
29	-1.45	18
29	-1	18.45
29	-0.55	18
29	-1	17.55
29	-1.45	18
30	-1.45	19
30	-1	19.45
30	-0.55	19
30	-1	18.55
30	-1.45	19
31	-1.45	2
31	-1	2.45
31	-0.55	2
31	-1	1.55
31	-1.45	2
32	-1.45	20
32	-1	20.45
32	-0.55	20
32	-1	19.55
32	-1.45	20
33	-1.45	22
33	-1	22.45
33	-0.55	22
33	-1	21.55
33	-1.45	22
34	-1.45	24
34	-1	24.45
34	-0.55	24
34	-1	23.55
34	-1.45	24
35	-1.45	3
35	-1	3.45
35	-0.55	3
35	-1	2.55
35	-1.45	3
36	-1.45	4
36	-1	4.45
36	-0.55	4
36	-1	3.55
36	-1.45	4
37	-1.45	5
37	-1	5.45
37	-0.55	5
37	-1	4.55
37	-1.45	5
38	-1.45	6
38	-1	6.45
38	-0.55	6
38	-1	5.55
38	-1.45	6
39	-1.45	7
39	-1	7.45
39	-0.55	7
39	-1	6.55
39	-1.45	7
40	-1.45	8
40	-1	8.45
40	-0.55	8
40	-1	7.55
40	-1.45	8
41	-1.45	9
41	-1	9.45
41	-0.55	9
41	-1	8.55
41	-1.45	9
42	-1.95	0.5
42	-1.5	0.95
42	-1.05	0.5
42	-1.5	0.05
42	-1.95	0.5
43	-1.95	1.5
43	-1.5	1.95
43	-1.05	1.5
43	-1.5	1.05
43	-1.95	1.5
44	-1.95	12.5
44	-1.5	12.95
44	-1.05	12.5
44	-1.5	12.05
44	-1.95	12.5
45	-1.95	13.5
45	-1.5	13.95
45	-1.05	13.5
45	-1.5	13.05
45	-1.95	13.5
46	-1.95	14.5
46	-1.5	14.95
46	-1.05	14.5
46	-1.5	14.05
46	-1.95	14.5
47	-1.95	15.5
47	-1.5	15.95
47	-1.05	15.5
47	-1.5	15.05
47	-1.95	15.5
48	-1.95	16.5
48	-1.5	16.95
48	-1.05	16.5
48	-1.5	16.05
48	-1.95	16.5
49	-1.95	18.5
49	-1.5	18.95
49	-1.05	18.5
49	-1.5	18.05
49	-1.95	18.5
50	-1.95	19.5
50	-1.5	19.95
50	-1.05	19.5
50	-1.5	19.05
50	-1.95	19.5
51	-1.95	2.5
51	-1.5	2.95
51	-1.05	2.5
51	-1.5	2.05
51	-1.95	2.5
52	-1.95	20.5
52	-1.5	20.95
52	-1.05	20.5
52	-1.5	20.05
52	-1.95	20.5
53	-1.95	21.5
53	-1.5	21.95
53	-1.05	21.5
53	-1.5	21.05
53	-1.95	21.5
54	-1.95	23.5
54	-1.5	23.95
54	-1.05	23.5
54	-1.5	23.05
54	-1.95	23.5
55	-1.95	3.5
55	-1.5	3.95
55	-1.05	3.5
55	-1.5	3.05
55	-1.95	3.5
56	-1.95	4.5
56	-1.5	4.95
56	-1.05	4.5
56	-1.5	4.05
56	-1.95	4.5
57	-1.95	5.5
57	-1.5	5.95
57	-1.05	5.5
57	-1.5	5.05
57	-1.95	5.5
58	-1.95	6.5
58	-1.5	6.95
58	-1.05	6.5
58	-1.5	6.05
58	-1.95	6.5
59	-1.95	7.5
59	-1.5	7.95
59	-1.05	7.5
59	-1.5	7.05
59	-1.95	7.5
60	-1.95	8.5
60	-1.5	8.95
60	-1.05	8.5
60	-1.5	8.05
60	-1.95	8.5
61	-1.95	9.5
61	-1.5	9.95
61	-1.05	9.5
61	-1.5	9.05
61	-1.95	9.5
62	-10.45	0
62	-10	0.45
62	-9.55	0
62	-10	-0.45
62	-10.45	0
63	-10.45	1
63	-10	1.45
63	-9.55	1
63	-10	0.55
63	-10.45	1
64	-10.45	10
64	-10	10.45
64	-9.55	10
64	-10	9.55
64	-10.45	10
65	-10.45	11
65	-10	11.45
65	-9.55	11
65	-10	10.55
65	-10.45	11
66	-10.45	12
66	-10	12.45
66	-9.55	12
66	-10	11.55
66	-10.45	12
67	-10.45	13
67	-10	13.45
67	-9.55	13
67	-10	12.55
67	-10.45	13
68	-10.45	14
68	-10	14.45
68	-9.55	14
68	-10	13.55
68	-10.45	14
69	-10.45	15
69	-10	15.45
69	-9.55	15
69	-10	14.55
69	-10.45	15
70	-10.45	16
70	-10	16.45
70	-9.55	16
70	-10	15.55
70	-10.45	16
71	-10.45	17
71	-10	17.45
71	-9.55	17
71	-10	16.55
71	-10.45	17
72	-10.45	18
72	-10	18.45
72	-9.55	18
72	-10	17.55
72	-10.45	18
73	-10.45	2
73	-10	2.45
73	-9.55	2
73	-10	1.55
73	-10.45	2
74	-10.45	3
74	-10	3.45
74	-9.55	3
74	-10	2.55
74	-10.45	3
75	-10.45	4
75	-10	4.45
75	-9.55	4
75	-10	3.55
75	-10.45	4
76	-10.45	5
76	-10	5.45
76	-9.55	5
76	-10	4.55
