group	label	showSelected1
1	Cluster 2: 5/5 pixels shown, logFC 1.3 to 1.4, log10(p) 62.9 to 94.3	2
1	Cluster 3: 87/87 pixels shown, logFC -1.5 to 1.7, log10(p) 0.0 to 1.3	3
1	Cluster 6: 121/124 pixels shown, logFC -1.2 to 1.6, log10(p) 0.0 to 2.0	6
1	Cluster 7: 24/58 pixels shown, logFC -2.1 to 0.8, log10(p) 0.0 to 1.7	7
1	Cluster 9: 12/23 pixels shown, logFC -2.1 to 0.2, log10(p) 0.0 to 1.8	9
1	Cluster 11: 43/43 pixels shown, logFC -1.2 to 0.7, log10(p) 0.0 to 2.0	11
1	Cluster 15: 2/4 pixels shown, logFC -2.9 to -2.0, log10(p) 0.4 to 1.0	15
1	Cluster 16: 236/1134 pixels shown, logFC -1.6 to 1.5, log10(p) 0.0 to 4.9	16
1	Cluster 17: 6/6 pixels shown, logFC 0.5 to 2.7, log10(p) 0.2 to 2.3	17
1	Cluster 18: 23/23 pixels shown, logFC 1.3 to 1.5, log10(p) 62.8 to 93.3	18
1	Cluster 19: 2/2 pixels shown, logFC 1.9 to 3.5, log10(p) 0.7 to 1.1	19
1	Cluster 20: 6/6 pixels shown, logFC 0.3 to 2.6, log10(p) 0.4 to 1.2	20
1	Cluster 21: 3/3 pixels shown, logFC -2.9 to -1.2, log10(p) 0.4 to 1.5	21
1	Cluster 22: 6/6 pixels shown, logFC -3.8 to -2.1, log10(p) 0.4 to 1.2	22
1	Cluster 23: 15/15 pixels shown, logFC -1.2 to 1.0, log10(p) 0.0 to 2.1	23
1	Cluster 31: 3/3 pixels shown, logFC -2.1 to -1.1, log10(p) 0.4 to 1.4	31
1	Cluster 32: 9/9 pixels shown, logFC 1.3 to 1.5, log10(p) 47.3 to 66.0	32
1	Cluster 33: 7/7 pixels shown, logFC 0.9 to 3.5, log10(p) 0.7 to 8.9	33
1	Cluster 34: 2/2 pixels shown, logFC -3.4 to -2.9, log10(p) 0.7 to 0.9	34
1	Cluster 36: 4/4 pixels shown, logFC 1.4 to 1.5, log10(p) 81.2 to 101.0	36
1	Cluster 37: 32/32 pixels shown, logFC 0.9 to 1.6, log10(p) 6.4 to 21.2	37
1	Cluster 43: 1/1 pixels shown, logFC 2.6 to 2.6, log10(p) 0.7 to 0.7	43
