fill	x	y	xmin	xmax	ymin	ymax
#555555	0.75	0	0.625	0.875	-0.5	0.5
#CBCBCB	2	0	1.875	2.125	-0.5	0.5
#FFFFFF	2.75	1	2.625	2.875	0.5	1.5
#898989	1	0	0.875	1.125	-0.5	0.5
#FFFFFF	2	1	1.875	2.125	0.5	1.5
#FFFFFF	1.75	1	1.625	1.875	0.5	1.5
#FFFFFF	2.5	0	2.375	2.625	-0.5	0.5
#FFFFFF	1.25	1	1.125	1.375	0.5	1.5
#CBCBCB	1.75	0	1.625	1.875	-0.5	0.5
#3B3B3B	0.5	0	0.375	0.625	-0.5	0.5
#464646	0.25	0	0.125	0.375	-0.5	0.5
#FFFFFF	0.5	1	0.375	0.625	0.5	1.5
#FFFFFF	3	1	2.875	3.125	0.5	1.5
#999999	1.25	0	1.125	1.375	-0.5	0.5
#898989	1.5	0	1.375	1.625	-0.5	0.5
#000000	0	0	-0.125	0.125	-0.5	0.5
