group	fill	clickSelects
1	#FFFFFF	4
2	#FFFFFF	4
10	#FFFFFF	4
15	#FFFFFF	4
16	#FFFFFF	4
17	#FFFFFF	4
18	#FFFFFF	4
19	#FFFFFF	4
20	#FFFFFF	4
22	#FFFFFF	4
23	#FFFFFF	4
31	#FFFFFF	4
35	#FFFFFF	4
36	#FFFFFF	4
37	#FFFFFF	4
38	#FFFFFF	4
39	#FFFFFF	4
40	#FFFFFF	4
41	#FFFFFF	4
42	#FFFFFF	4
43	#FFFFFF	4
51	#FFFFFF	4
55	#FFFFFF	4
56	#FFFFFF	4
57	#FFFFFF	4
58	#FFFFFF	4
59	#FFFFFF	4
60	#FFFFFF	4
61	#FFFFFF	4
62	#FFFFFF	4
63	#FFFFFF	4
64	#FFFFFF	4
65	#FFFFFF	4
66	#FFFFFF	4
67	#FFFFFF	4
68	#FFFFFF	4
69	#FFFFFF	4
70	#FFFFFF	4
71	#FFFFFF	4
72	#FFFFFF	4
73	#FFFFFF	4
74	#FFFFFF	4
75	#FFFFFF	4
76	#FFFFFF	4
77	#FFFFFF	4
78	#FFFFFF	4
79	#FFFFFF	4
80	#FFFFFF	4
81	#FFFFFF	4
82	#FFFFFF	4
83	#FFFFFF	4
84	#FFFFFF	4
85	#FFFFFF	4
86	#FFFFFF	4
87	#FFFFFF	4
88	#FFFFFF	4
89	#FFFFFF	4
90	#FFFFFF	4
91	#FFFFFF	4
92	#FFFFFF	4
93	#FFFFFF	4
94	#FFFFFF	4
95	#FFFFFF	4
96	#FFFFFF	4
97	#FFFFFF	4
98	#FFFFFF	4
99	#FFFFFF	4
100	#CD1076	10
101	#FFFFFF	4
102	#FFFFFF	4
103	#FFFFFF	4
104	#FFFFFF	4
105	#FFFFFF	4
106	#FFFFFF	4
107	#FFFFFF	4
108	#FFFFFF	4
109	#FFFFFF	4
110	#FFFFFF	4
111	#FFFFFF	4
112	#FFFFFF	4
113	#FFFFFF	4
114	#FFFFFF	4
115	#FFFFFF	4
116	#FFFFFF	4
117	#FFFFFF	4
118	#FFFFFF	4
119	#FFFFFF	4
120	#CD1076	10
121	#FFFFFF	4
122	#FFFFFF	4
123	#FFFFFF	4
124	#FFFFFF	4
125	#FFFFFF	4
126	#FFFFFF	4
127	#FFFFFF	4
128	#FFFFFF	4
129	#FFFFFF	4
130	#FFFFFF	4
131	#FFFFFF	4
132	#FFFFFF	4
133	#FFFFFF	4
134	#FFFFFF	4
135	#FFFFFF	4
136	#FFFFFF	4
137	#FFFFFF	4
138	#FFFFFF	4
139	#FFFFFF	4
140	#CD1076	10
141	#CD1076	10
142	#FFFFFF	4
143	#FFFFFF	4
144	#FFFFFF	4
145	#FFFFFF	4
146	#FFFFFF	4
147	#FFFFFF	4
148	#FFFFFF	4
149	#FFFFFF	4
150	#FFFFFF	4
151	#FFFFFF	4
152	#FFFFFF	4
153	#FFFFFF	4
154	#FFFFFF	4
155	#FFFFFF	4
156	#FFFFFF	4
157	#FFFFFF	4
158	#FFFFFF	4
159	#FFFFFF	4
160	#FFFFFF	4
161	#CD1076	10
162	#CD1076	40
163	#FFFFFF	4
164	#FFFFFF	4
165	#FFFFFF	4
166	#FFFFFF	4
167	#FFFFFF	4
168	#FFFFFF	4
169	#FFFFFF	4
170	#FFFFFF	4
171	#FFFFFF	4
172	#FFFFFF	4
173	#FFFFFF	4
174	#FFFFFF	4
175	#FFFFFF	4
176	#FFFFFF	4
177	#FFFFFF	4
178	#FFFFFF	4
179	#FFFFFF	4
180	#FFFFFF	4
181	#FFFFFF	4
182	#CD1076	10
183	#CD1076	10
184	#FFFFFF	4
185	#FFFFFF	4
186	#FFFFFF	4
187	#FFFFFF	4
188	#FFFFFF	4
189	#FFFFFF	4
190	#FFFFFF	4
191	#FFFFFF	4
192	#FFFFFF	4
193	#FFFFFF	4
194	#CD1076	40
195	#FFFFFF	4
196	#FFFFFF	4
197	#FFFFFF	4
198	#FFFFFF	4
199	#FFFFFF	4
200	#FFFFFF	4
201	#FFFFFF	4
202	#FFFFFF	4
203	#FFFFFF	4
204	#CD1076	10
205	#CD1076	40
206	#FFFFFF	4
207	#FFFFFF	4
208	#FFFFFF	4
209	#FFFFFF	4
210	#FFFFFF	4
211	#FFFFFF	4
212	#FFFFFF	8
213	#FFFFFF	8
214	#FFFFFF	4
215	#FFFFFF	4
216	#CD1076	40
217	#FFFFFF	4
218	#FFFFFF	4
219	#FFFFFF	4
220	#FFFFFF	4
221	#FFFFFF	4
222	#FFFFFF	4
223	#FFFFFF	4
224	#FFFFFF	4
225	#FFFFFF	4
226	#CD1076	10
227	#CD1076	10
228	#FFFFFF	4
229	#FFFFFF	4
230	#FFFFFF	4
231	#FFFFFF	4
232	#FFFFFF	4
233	#FFFFFF	4
234	#FFFFFF	4
235	#FFFFFF	8
236	#FFFFFF	4
237	#FFFFFF	4
238	#CD1076	40
239	#FFFFFF	4
240	#FFFFFF	4
241	#FFFFFF	4
242	#CD1076	40
243	#FFFFFF	4
244	#FFFFFF	4
245	#FFFFFF	4
246	#FFFFFF	4
247	#FFFFFF	4
248	#FFFFFF	4
249	#CD1076	10
250	#CD1076	10
251	#FFFFFF	4
252	#FFFFFF	4
253	#FFFFFF	4
254	#FFFFFF	4
255	#FFFFFF	4
256	#FFFFFF	4
257	#FFFFFF	4
258	#FFFFFF	8
259	#FFFFFF	4
260	#FFFFFF	4
261	#CD1076	40
262	#FFFFFF	8
263	#FFFFFF	4
264	#FFFFFF	4
265	#CD1076	40
266	#FFFFFF	4
267	#FFFFFF	4
268	#FFFFFF	4
269	#FFFFFF	4
270	#FFFFFF	4
271	#FFFFFF	4
272	#CD1076	10
273	#CD1076	10
274	#FFFFFF	4
275	#FFFFFF	4
276	#FFFFFF	4
277	#FFFFFF	4
278	#FFFFFF	4
279	#FFFFFF	4
280	#FFFFFF	4
281	#FFFFFF	8
282	#FFFFFF	4
283	#FFFFFF	8
284	#CD1076	40
285	#FFFFFF	8
286	#FFFFFF	4
287	#FFFFFF	4
288	#FFFFFF	4
289	#CD1076	40
290	#CD1076	40
291	#FFFFFF	4
292	#FFFFFF	4
293	#FFFFFF	4
294	#FFFFFF	4
295	#FFFFFF	4
296	#CD1076	10
297	#CD1076	10
298	#FFFFFF	4
299	#FFFFFF	4
300	#FFFFFF	4
301	#FFFFFF	4
302	#FFFFFF	4
303	#FFFFFF	4
304	#FFFFFF	4
305	#FFFFFF	8
306	#FFFFFF	8
307	#FFFFFF	8
308	#CD1076	10
309	#FFFFFF	4
310	#FFFFFF	8
311	#FFFFFF	4
312	#FFFFFF	4
313	#CD1076	40
314	#CD1076	40
315	#FFFFFF	4
316	#FFFFFF	4
317	#FFFFFF	4
318	#FFFFFF	4
319	#FFFFFF	4
320	#CD1076	10
321	#CD1076	10
322	#FFFFFF	4
323	#FFFFFF	4
324	#FFFFFF	4
325	#FFFFFF	4
326	#FFFFFF	4
327	#FFFFFF	4
328	#FFFFFF	8
329	#FFFFFF	4
330	#FFFFFF	8
331	#FFFFFF	8
332	#CD1076	10
333	#FFFFFF	4
334	#FFFFFF	4
335	#FFFFFF	8
336	#FFFFFF	4
337	#FFFFFF	4
338	#CD1076	40
339	#CD1076	40
340	#CD1076	40
341	#FFFFFF	4
342	#FFFFFF	4
343	#FFFFFF	4
344	#FFFFFF	4
345	#CD1076	10
346	#CD1076	10
347	#FFFFFF	4
348	#FFFFFF	4
349	#FFFFFF	4
350	#FFFFFF	4
351	#FFFFFF	4
352	#FFFFFF	4
353	#FFFFFF	8
354	#FFFFFF	8
355	#FFFFFF	8
356	#FFFFFF	8
357	#CD1076	40
358	#FFFFFF	4
359	#FFFFFF	8
360	#FFFFFF	8
361	#FFFFFF	4
362	#FFFFFF	4
363	#CD1076	40
364	#CD1076	40
365	#CD1076	39
366	#FFFFFF	4
367	#FFFFFF	4
368	#FFFFFF	4
369	#FFFFFF	4
370	#CD1076	10
371	#CD1076	10
372	#FFFFFF	4
373	#FFFFFF	4
374	#FFFFFF	4
375	#FFFFFF	4
376	#FFFFFF	4
377	#FFFFFF	4
378	#FFFFFF	8
379	#FFFFFF	8
380	#FFFFFF	8
381	#FFFFFF	8
382	#CD1076	40
383	#FFFFFF	4
384	#FFFFFF	8
385	#FFFFFF	4
386	#FFFFFF	8
387	#FFFFFF	4
388	#FFFFFF	4
389	#CD1076	40
390	#CD1076	40
391	#CD1076	40
392	#CD1076	39
393	#FFFFFF	4
394	#FFFFFF	4
395	#FFFFFF	4
396	#CD1076	10
397	#CD1076	40
398	#FFFFFF	4
399	#FFFFFF	4
400	#FFFFFF	4
401	#FFFFFF	4
402	#FFFFFF	4
403	#FFFFFF	4
404	#FFFFFF	8
405	#FFFFFF	8
406	#FFFFFF	8
407	#FFFFFF	8
408	#CD1076	40
409	#FFFFFF	8
410	#FFFFFF	8
411	#FFFFFF	4
412	#FFFFFF	4
413	#FFFFFF	4
414	#FFFFFF	4
415	#CD1076	39
416	#CD1076	39
417	#CD1076	39
418	#CD1076	99
419	#FFFFFF	4
420	#FFFFFF	4
421	#FFFFFF	4
422	#CD1076	10
423	#CD1076	40
424	#FFFFFF	4
425	#FFFFFF	4
426	#FFFFFF	4
427	#FFFFFF	4
428	#FFFFFF	4
429	#FFFFFF	8
430	#FFFFFF	8
431	#FFFFFF	8
432	#FFFFFF	8
433	#FFFFFF	8
434	#CD1076	40
435	#FFFFFF	8
436	#FFFFFF	8
437	#FFFFFF	4
438	#FFFFFF	4
439	#FFFFFF	4
440	#FFFFFF	4
441	#FFFFFF	4
442	#CD1076	39
443	#CD1076	39
444	#CD1076	39
445	#CD1076	99
446	#CD1076	99
447	#FFFFFF	4
448	#FFFFFF	4
449	#CD1076	10
450	#CD1076	40
451	#FFFFFF	8
452	#FFFFFF	4
453	#FFFFFF	4
454	#FFFFFF	4
455	#FFFFFF	8
456	#FFFFFF	8
457	#FFFFFF	8
458	#FFFFFF	8
459	#FFFFFF	8
460	#FFFFFF	79
461	#CD1076	39
462	#FFFFFF	79
463	#FFFFFF	8
464	#FFFFFF	4
465	#FFFFFF	4
466	#FFFFFF	4
467	#FFFFFF	4
468	#FFFFFF	4
469	#CD1076	39
470	#CD1076	39
471	#CD1076	99
472	#CD1076	39
473	#CD1076	99
474	#FFFFFF	4
475	#FFFFFF	4
476	#CD1076	10
477	#CD1076	10
478	#FFFFFF	8
479	#FFFFFF	4
480	#FFFFFF	4
481	#FFFFFF	4
482	#FFFFFF	8
483	#FFFFFF	8
484	#FFFFFF	8
485	#FFFFFF	8
486	#FFFFFF	8
487	#FFFFFF	8
488	#CD1076	40
489	#FFFFFF	79
